company,category,priority,hq_city,website,form_url,email,linkedin,phone,contact_name,contact_role,country,notes
Suidwes Outomotief,Dealer Group,C,Leeudoringstad,https://www.suidwes.co.za,https://www.suidwes.co.za/contact-us,,,,,,South Africa,
Zeda Limited,Rental & Fleet,A,Bedfordview,https://zeda.co.za,https://zeda.co.za/contact-us/,,https://www.linkedin.com/company/zeda-southern-africa,+27 11 879 8000,Ramasela Ganda,Group CEO,South Africa,"JSE-listed. R10.6bn revenue. 230 000 vehicles under management, 35 000 on balance sheet. A++ target for Chery/Haval/Geely B-segment. Avis Budget SA / Avis Fleet."
Bidvest Car Rental,Rental & Fleet,A,Boksburg,https://www.bidvestcarrental.co.za,https://www.bidvestcarrental.co.za/contact,reservations@bidvestcarrental.co.za,https://za.linkedin.com/company/bidvest-car-rental,086 101 7722,,,South Africa,"Now branded Bluu. 13 500 cars, 120+ branches in SA/Namibia/Botswana. Open to economy-segment Chinese brands."
First Car Rental,Rental & Fleet,A,Bryanston,https://www.firstcarrental.co.za,https://www.firstcarrental.co.za/contact-us,,https://za.linkedin.com/company/first-car-rental,0861 178 227,Landi Kuhn,CEO,South Africa,"9000 cars, 50+ branches. CMH-owned — access via CMH Fleet Solutions."
Europcar SA,Rental & Fleet,A,Bedfordview,https://www.europcar.co.za,https://www.europcar.co.za/contact-us/head-office,,https://za.linkedin.com/company/europcar-south-africa,+27 11 479 4000,Martin Lydall,CEO,South Africa,"25 000 cars, 100 branches, Motus subsidiary. Procurement via Motus parent."
Hertz South Africa,Rental & Fleet,B,Cape Town,https://www.hertz.co.za,https://www.hertz.co.za/contact-us/,cust.relations@hertz.co.za,https://za.linkedin.com/company/hertz-south-africa,+27 21 935 4800,,,South Africa,"BBBEE Level 3. CFAO Mobility-owned. 42 branches."
Tempest Car Hire,Rental & Fleet,B,Kempton Park,https://www.tempestcarhire.co.za,https://www.tempestcarhire.co.za/contact-us,,,,,,South Africa,"Owned by Avis Budget Group SA / Zeda ecosystem."
Pace Car Rental,Rental & Fleet,B,Sandton,https://www.pacecarrental.co.za,https://www.pacecarrental.co.za/contact-us/,,https://za.linkedin.com/company/pace-car-rental,+27 11 262 5500,Grenville Salmon,Founder & MD,South Africa,"51% black-owned, 30% black female-owned (top BBBEE). Already rents GWM P-Series."
Woodford Car Hire,Rental & Fleet,B,Durban,https://www.woodford.co.za,https://www.woodford.co.za/contact-us,,,,,,South Africa,
Hello Group,Used-car Wholesaler,C,Centurion,https://hellogroup.co.za,https://hellogroup.co.za/contact,,https://za.linkedin.com/company/hellogroup,,Nadir Khamissa,CEO,South Africa,"WARNING: original brief miscategorised — Hello Group is fintech/telecom/remittance, NOT auto. Low relevance."
Sixt SA,Rental & Fleet,C,Multiple,https://www.sixt.co.za,https://www.sixt.co.za/contact-us,,,,,,South Africa,"Franchise model."
Thrifty Car Rental SA,Rental & Fleet,C,Johannesburg,https://www.thrifty.co.za,https://www.thrifty.co.za/contact-us,,,,,,South Africa,
Bridge Taxi Finance,Taxi-Recap & Minibus,A,Johannesburg,https://www.bridgetaxifinance.co.za,https://www.bridgetaxifinance.co.za,johannesburg@bridgefinancesa.co.za,https://au.linkedin.com/company/bridge-taxi-finance,0800 274 343,Gerhardt van Wyngaard,CEO,South Africa,"$17M revenue, 67 employees. Finances vetted minibus suppliers. Ideal target for FAW/Foton/Joylong 14-seater alternative to Toyota HiAce. Other verified emails: germiston@, alberton@, boksburg@bridgefinancesa.co.za"
SANTACO,Taxi-Recap & Minibus,A,Pretoria,https://santaco.org,https://santaco.org/contact,,,,Motlhabane Abnar Tsebe,President / CEO,South Africa,"Apex body for taxi industry. President was a driver himself — open to dialogue with B-BBEE structure."
SA Taxi / Mobalyz,Taxi-Recap & Minibus,A,Hyde Park,https://www.sataxi.co.za,https://www.sataxi.co.za/contact,,https://za.linkedin.com/company/sa-taxi,+27 11 049 5000,Sean Doherty,CEO Mobalyz,South Africa,"Restructuring done Dec 2024. Active via MaaS + Gomo. SANTACO holds 25%."
WeBuyCars,Used-car Wholesaler,A,Centurion,https://www.webuycars.co.za,https://www.webuycars.co.za/contact,,https://za.linkedin.com/company/webuycars,+27 12 661 5805,Faan van der Walt,Co-founder & CEO,South Africa,"JSE-listed (Apr 2024). ~25 000 cars/month traded, 18% used-car market share. Buys stock in lots, including ex-fleet/rental. A++ for sourcing."
Weelee,Used-car Wholesaler,B,Kempton Park,https://weelee.co.za,https://weelee.co.za/contact-us/,,,,Marc Friedman,CEO,South Africa,
Auto Pedigree,Used-car Wholesaler,B,Bellville,https://www.autopedigree.co.za,https://www.autopedigree.co.za/contact,,https://za.linkedin.com/company/auto-pedigree,+27 21 940 5800,Fanie Kleynhans,MD,South Africa,"Motus subsidiary. 71 branches mid-2025. Sources mostly from ex-rental fleets — auto-connects when rental partners signed."
CarMart,Used-car Wholesaler,C,Johannesburg,https://www.carmart.co.za,https://www.carmart.co.za/contact,,,,,,South Africa,
g-FleeT Management Gauteng,Government Fleet,B,Bedfordview,http://www.gfleet.gov.za,http://www.gfleet.gov.za/Contact_us/Contact_us.htm,cebile.dlamini@gauteng.gov.za,,+27 11 372 8600,Poobalan Govender,Acting CEO,South Africa,"Trading entity Gauteng Dept R&T. Tenders via etenders.gov.za. Requires CSD registration. TENDER-ONLY — do not cold-form."
GFMS Eastern Cape,Government Fleet,B,Bhisho,https://www.ectransport.gov.za,https://www.ectransport.gov.za/contact,,,,,,South Africa,"TENDER-ONLY — do not cold-form."
National Treasury - RT57,Government Fleet,B,Pretoria,https://www.treasury.gov.za,https://secure.csd.gov.za,,,,,,South Africa,"Central Supplier Database. RT57 transversal contract for vehicles. TENDER-ONLY."
SAPS Procurement,Government Fleet,C,Pretoria,https://www.saps.gov.za,https://www.saps.gov.za/services/supplier_reg.php,,,,,,South Africa,"TENDER-ONLY."
South African Post Office,Government Fleet,C,Pretoria,https://www.postoffice.co.za,https://www.postoffice.co.za/contact,,,,,,South Africa,"Under business rescue. TENDER-ONLY."
Transnet,Government Fleet,B,Johannesburg,https://www.transnet.net,https://esupplierportal.transnet.net/,,https://za.linkedin.com/company/transnet,+27 11 308 3000,Michelle Phillips,Group CE,South Africa,"Procurement via CSD + Transnet eSupplier Portal. NAACAM localisation partnership. TENDER-ONLY."
DSV South Africa,Logistics-Truck Buyer,B,Kempton Park,https://www.dsv.com/en/countries/africa/south-africa,https://www.dsv.com/en-za/contact,,https://www.linkedin.com/company/dsv,,Jens H. Lund,Group CEO,South Africa,
Imperial Logistics SSA,Logistics-Truck Buyer,B,Bedfordview,https://www.imperiallogistics.com,https://www.imperiallogistics.com/contact-us,,,,Mohammed Akoojee,CEO & MD,South Africa,"Same parent as #13."
Bidvest Logistics,Logistics-Truck Buyer,B,Sandton,https://bidvest.co.za,https://bidvest.co.za/contact-us,,,,Mpumi Madisa,Bidvest Group CEO,South Africa,
Unitrans Africa,Logistics-Truck Buyer,B,Cape Town,https://www.unitransafrica.com,https://unitransafrica.com/contact-us/,,https://za.linkedin.com/company/unitrans-supply-chain-solutions,,Terence Pillay,CEO Unitrans Africa,South Africa,
Barloworld Logistics,Logistics-Truck Buyer,C,Johannesburg,https://barloworld.com,,,,,,,South Africa,"Logistics divested 2020 — no longer buys trucks."
Super Group SCS,Logistics-Truck Buyer,B,Sandton,https://www.supergroup.co.za,https://supergroup.co.za/our-divisions,,,,Peter Mountford,Group CEO,South Africa,
CFAO Mobility,Logistics-Truck Buyer,A,Roodepoort,https://www.cfaomobility.co.za,https://www.cfaomobility.co.za/sinotruk/find-a-dealer/,,https://za.linkedin.com/company/cfao-mobility,+27 11 470 9700,,,South Africa,"Distributes Sinotruk + Subaru + Toyota Forklifts. Note: competitor for Sinotruk channel — useful for market intel only."
Anglo American,Mining Fleet,C,Johannesburg,https://southafrica.angloamerican.com,https://www.angloamerican.com/suppliers,,https://www.linkedin.com/company/anglo-american,+27 11 638 9111,Duncan Wanblad,Group CEO,South Africa,"Procurement via Ariba Discovery + Coupa. Anglo Zimele for SMMEs. TENDER-ONLY."
Sibanye-Stillwater,Mining Fleet,B,Westonaria,https://www.sibanyestillwater.com,https://www.sibanyestillwater.com/sibanyesupply/,john.lewington@sibanyestillwater.com,https://za.linkedin.com/company/sibanye-stillwater,+27 10 493 8000,Richard Stewart,CEO,South Africa,"Procurement via Coupa platform. Mining Goods & Services head: John Lewington. Verified: mahowa.morotoba@, awakhe.mabanga@sibanyestillwater.com. TENDER-ONLY."
Implats,Mining Fleet,C,Johannesburg,https://www.implats.co.za,https://implats-ir.co.za/website/south-african-tenders.php,,https://za.linkedin.com/company/impala-platinum,,Nico Muller,former CEO,South Africa,"TENDER-ONLY."
Harmony Gold,Mining Fleet,C,Randfontein,https://www.harmony.co.za,https://www.harmony.co.za/suppliers,,https://za.linkedin.com/company/harmony-gold-mining,,Beyers Nel,CEO,South Africa,"TENDER-ONLY."
Glencore SA,Mining Fleet,C,Sandton,https://www.glencore.com,https://www.glencore.com/who-we-are/contact,,,,Gary Nagle,Group CEO,South Africa,"TENDER-ONLY."
Exxaro Resources,Mining Fleet,C,Centurion,https://www.exxaro.com,https://www.exxaro.com/suppliers,,,,Riaan Koppeschaar,Interim CEO,South Africa,"TENDER-ONLY."
Northam Platinum,Mining Fleet,C,Johannesburg,https://www.northam.co.za,https://www.northam.co.za/suppliers,,https://za.linkedin.com/company/northam-platinum,,Paul Dunne,CEO,South Africa,"TENDER-ONLY."
Eskom,Corporate Fleet,B,Sunninghill,https://www.eskom.co.za,https://www.eskom.co.za/procurement/,,https://za.linkedin.com/company/eskom,+27 11 800 8111,Dan Marokane,Group CEO,South Africa,"CSD + Eskom Vendor Management. 4-6 weeks vendor reg. Complaints: ProcurementComplaints@eskom.co.za. TENDER-ONLY."
MTN South Africa,Corporate Fleet,C,Fairland,https://www.mtn.com,https://www.mtn.com/suppliers,,,,Charles Molapisi,MTN SA CEO,South Africa,"TENDER-ONLY."
Vodacom,Corporate Fleet,C,Midrand,https://www.vodacom.co.za,https://vodacom.co.za/about-us/suppliers,,,,Sitho Mdlalose,MD,South Africa,"TENDER-ONLY."
Telkom,Corporate Fleet,C,Centurion,https://www.telkom.co.za,https://telkom.co.za/about-telkom/suppliers,,,,Serame Taukobong,Group CEO,South Africa,"TENDER-ONLY."
Sasol,Corporate Fleet,C,Sandton,https://www.sasol.com,https://www.sasol.com/suppliers/existing-supplier-portal,,https://za.linkedin.com/company/sasol,+27 10 344 5000,Simon Baloyi,Group CEO,South Africa,"Ariba Network e-Marketplace. BBBEE Level 6 minimum. TENDER-ONLY."
Putco,Bus Operator,B,Sandton,https://putco.co.za,https://putco.co.za/about-us/,callcentre@putco.co.za,https://za.linkedin.com/company/putco-pty-ltd,+27 11 602 3868,Franco Pisapia,MD,South Africa,"1 400+ buses, 230 000 passengers/day, 51% black-owned (Larimar). Big opportunity for Yutong/Higer/King Long."
Golden Arrow Bus Services,Bus Operator,B,Cape Town,https://www.gabs.co.za,https://www.gabs.co.za/ContactUs.aspx,information@gabs.co.za,https://za.linkedin.com/company/golden-arrow-bus-services,+27 21 507 8800,Francois Meyer,CEO,South Africa,"1 200+ buses, 220 000 passengers/day. Already electrifying — BYD/Yutong electric candidates. HCI shareholding."
MyCiTi,Government Fleet,C,Cape Town,https://www.capetown.gov.za,,,,,Rob Quintas,Mayoral Committee Member - Urban Mobility,South Africa,"City of Cape Town transit. TENDER-ONLY."
Rea Vaya,Government Fleet,C,Johannesburg,https://www.reavaya.org.za,https://www.reavaya.org.za/contact,,,,,,South Africa,"City of Joburg transit. TENDER-ONLY."
NAAMSA,Industry Assoc,A,Pretoria,https://naamsa.net,https://naamsa.net/the-naamsa-team/,naamsa@iafrica.com,https://za.linkedin.com/company/naamsa,+27 12 807 0152,Mikel Mabasa,CEO,South Africa,"Gatekeeper / OEM intel source, not a customer. TENDER-ONLY (intel only)."
NADA,Industry Assoc,A,Randburg,https://nada.co.za,https://nada.co.za/home/contact/,,,,,,South Africa,"Networking only. TENDER-ONLY (intel only)."
NAACAM,Industry Assoc,B,Durban,https://naacam.org.za,https://naacam.org.za/contact-us/,,,,Renai Moothilal,Executive Director,South Africa,"Networking only. TENDER-ONLY (intel only)."
RMI,Industry Assoc,B,Randburg,https://www.rmi.org.za,https://www.rmi.org.za/contact-us,,,,Jakkie Olivier,CEO,South Africa,"Networking only. TENDER-ONLY (intel only)."
